datetime,lat,lon,county,state,hail_size,hail,temp_2m,dewpoint_2m,rh,wind_10m,wind_100m,shear,wind_max,precipitation,pressure,cloudcover,month,hour,prob_twin,prob_xgb
2024-05-15 19:05:00,36.7654,-96.8503,KAY,OKLAHOMA,2.2,1,20.5,17.5,83,4.3,4.9,0.6000000000000005,4.9,6.5,967.1,97,5,19,0.199,0.013658949173986912
2024-08-16 17:53:00,36.6706,-97.9103,GRANT,OKLAHOMA,1.0,1,36.2,22.4,45,13.8,17.8,4.0,17.8,0.0,972.0,3,8,17,0.424,0.02199559472501278
2024-03-14 21:42:00,33.96,-94.94,MCCURTAIN,OKLAHOMA,1.0,1,16.8,16.3,97,13.3,21.4,8.099999999999998,21.4,0.9,996.4,100,3,21,0.033,0.013658949173986912
2024-03-14 12:19:00,34.4341,-97.2549,MURRAY,OKLAHOMA,1.0,1,17.4,15.9,91,5.7,7.9,2.2,7.9,6.3,961.5,100,3,12,0.1,0.013658949173986912
2024-05-12 16:00:00,36.68,-101.79,TEXAS,OKLAHOMA,1.75,1,20.4,8.9,48,7.3,8.4,1.1000000000000005,8.4,0.1,891.9,92,5,16,0.378,0.004486005287617445
2024-05-08 17:08:00,36.0391,-95.0494,CHEROKEE,OKLAHOMA,1.25,1,22.4,20.4,88,4.3,8.1,3.8,8.1,0.0,966.2,16,5,17,0.029,0.012003092095255852
2024-05-21 16:41:00,36.0201,-96.0252,TULSA,OKLAHOMA,1.75,1,31.4,20.0,51,17.8,26.7,8.899999999999999,26.7,0.0,981.2,32,5,16,0.41,0.014788164757192135
2024-04-27 13:30:00,36.6945,-97.4085,KAY,OKLAHOMA,1.5,1,19.1,16.7,86,25.6,37.5,11.899999999999999,37.5,0.0,971.5,100,4,13,0.119,0.040785372257232666
2024-05-15 19:09:00,36.69,-96.87,OSAGE,OKLAHOMA,1.75,1,20.8,18.0,84,7.2,6.1,1.1000000000000005,7.2,8.4,966.1,98,5,19,0.198,0.013658949173986912
2024-09-24 17:25:00,35.5577,-97.5279,OKLAHOMA,OKLAHOMA,1.25,1,28.9,17.0,48,17.1,23.6,6.5,23.6,0.0,967.5,89,9,17,0.409,0.013658949173986912
2024-03-14 12:18:00,35.2319,-96.2819,HUGHES,OKLAHOMA,0.88,1,20.4,16.4,78,24.0,36.1,12.100000000000001,36.1,0.0,984.4,100,3,12,0.188,0.040785372257232666
2024-04-30 19:06:00,34.3866,-99.01,TILLMAN,OKLAHOMA,0.75,1,24.7,18.1,67,28.6,41.1,12.5,41.1,0.0,961.4,2,4,19,0.302,0.03354853391647339
2024-06-03 12:42:00,34.7229,-96.6541,PONTOTOC,OKLAHOMA,0.75,1,21.5,20.8,96,9.6,12.8,3.200000000000001,12.8,5.7,981.2,100,6,12,0.095,0.012774139642715454
2024-05-22 13:22:00,34.26,-94.8,MCCURTAIN,OKLAHOMA,1.5,1,21.5,20.9,96,10.7,18.5,7.800000000000001,18.5,0.2,978.9,100,5,13,0.03,0.012774139642715454
2024-05-19 21:13:00,35.5087,-97.5422,OKLAHOMA,OKLAHOMA,1.0,1,26.0,20.0,69,23.8,39.7,15.900000000000002,39.7,0.0,966.4,100,5,21,0.276,0.03413207083940506
2024-04-27 13:40:00,35.0282,-99.1046,KIOWA,OKLAHOMA,1.25,1,22.5,18.1,76,31.7,42.2,10.500000000000004,42.2,0.1,951.3,100,4,13,0.215,0.013658949173986912
2024-05-19 21:50:00,36.3861,-97.891,GARFIELD,OKLAHOMA,1.75,1,23.9,20.0,79,28.9,47.1,18.200000000000003,47.1,0.0,962.1,98,5,21,0.197,0.03413207083940506
2024-05-28 00:20:00,34.2629,-98.2427,COTTON,OKLAHOMA,1.75,1,25.4,11.4,42,19.4,35.7,16.300000000000004,35.7,0.0,980.7,19,5,0,0.504,0.017528071999549866
2024-06-04 04:12:00,35.4168,-97.2586,OKLAHOMA,OKLAHOMA,1.0,1,21.6,20.7,95,16.5,28.4,11.899999999999999,28.4,0.0,960.8,100,6,4,0.03,0.03548576682806015
2024-05-01 03:36:00,35.97,-98.35,BLAINE,OKLAHOMA,1.0,1,19.2,18.2,94,15.5,25.9,10.399999999999999,25.9,0.0,963.0,58,5,3,0.029,0.013658949173986912
2024-05-02 21:08:00,36.0807,-95.818,TULSA,OKLAHOMA,0.75,1,19.8,17.9,89,9.1,13.4,4.300000000000001,13.4,3.4,983.2,100,5,21,0.045,0.013658949173986912
2024-03-14 18:00:00,34.9432,-96.0042,PITTSBURG,OKLAHOMA,0.75,1,21.1,16.4,74,1.8,2.6,0.8,2.6,0.0,982.2,34,3,18,0.189,0.013658949173986912
2024-05-28 08:15:00,36.5415,-99.5353,WOODWARD,OKLAHOMA,1.0,1,20.1,14.2,69,15.9,26.9,10.999999999999998,26.9,0.0,947.9,99,5,8,0.251,0.0060960943810641766
2024-03-14 10:47:00,34.1666,-97.9091,JEFFERSON,OKLAHOMA,1.0,1,19.8,16.9,83,10.9,17.6,6.700000000000001,17.6,4.2,975.0,100,3,10,0.142,0.013658949173986912
2024-09-24 17:02:00,35.61,-97.5859,OKLAHOMA,OKLAHOMA,1.0,1,29.2,17.5,49,17.6,23.7,6.099999999999998,23.7,0.0,970.0,100,9,17,0.406,0.012003092095255852
2024-03-14 17:00:00,35.2425,-94.62,LE FLORE,OKLAHOMA,2.5,1,19.4,18.2,93,5.3,17.3,12.0,17.3,1.4,991.2,100,3,17,0.036,0.040785372257232666
2024-03-14 17:01:00,35.2245,-94.6136,LE FLORE,OKLAHOMA,1.0,1,19.4,18.2,93,5.3,17.3,12.0,17.3,1.4,989.0,100,3,17,0.036,0.040785372257232666
2024-05-22 06:45:00,34.6878,-98.4041,COMANCHE,OKLAHOMA,1.0,1,19.8,15.3,76,16.0,28.0,12.0,28.0,0.0,966.9,100,5,6,0.199,0.040785372257232666
2024-05-25 18:28:00,36.2604,-97.8905,GARFIELD,OKLAHOMA,0.75,1,31.7,18.0,44,17.5,26.4,8.899999999999999,26.4,0.0,959.5,100,5,18,0.446,0.012774139642715454
2024-05-02 00:43:00,34.1608,-97.1577,CARTER,OKLAHOMA,0.75,1,22.4,19.0,81,13.2,25.6,12.400000000000002,25.6,0.0,977.0,100,5,0,0.15,0.040785372257232666
2024-06-25 21:55:00,35.6575,-97.578,OKLAHOMA,OKLAHOMA,1.0,1,28.7,22.5,69,18.1,33.2,15.100000000000001,33.2,0.0,970.3,10,6,21,0.272,0.06043671816587448
2024-05-09 13:40:00,35.1955,-97.4059,CLEVELAND,OKLAHOMA,0.75,1,23.9,7.7,35,14.0,19.1,5.100000000000001,19.1,0.0,972.0,46,5,13,0.496,0.004769870080053806
2024-03-14 16:48:00,34.79,-96.68,PONTOTOC,OKLAHOMA,1.25,1,20.9,15.9,73,5.8,8.3,2.500000000000001,8.3,0.0,973.1,71,3,16,0.2,0.013658949173986912
2024-03-07 18:24:00,34.8723,-99.5122,GREER,OKLAHOMA,1.25,1,20.5,9.2,48,26.8,37.0,10.2,37.0,0.0,946.6,47,3,18,0.435,0.004486005287617445
